method,recall@1,recall@3,recall@5,mrr
Similarity top-5,0.5529411764705883,0.7339869281045751,0.8032679738562092,0.8021708683473389
MMR λ=0.5,0.5529411764705883,0.6483660130718953,0.7856209150326798,0.7743697478991596
MMR λ=0.6,0.5529411764705883,0.7071895424836602,0.7993464052287581,0.7802521008403361
MMR λ=0.7,0.5529411764705883,0.707843137254902,0.8287581699346405,0.7925848117024588
MMR λ=0.8,0.5529411764705883,0.7437908496732025,0.8352941176470589,0.7989262371615312
MMR λ=0.9,0.5529411764705883,0.7601307189542483,0.8745098039215686,0.8091970121381886
